Code,Device,Manufacturer,Base,Package,Leaded Equivalent/Data
2Cs,BC849CW,Sie,N,SOT323,BC549C
2Cp,BC849C,Phi,N,SOT23,BC549C
2Ct,BC849C,Phi,N,SOT23,BC549C
2Ct,BC849CW,Phi,N,SOT323,BC549C
2C-,BC849CW,Phi,N,SOT323,BC549C
2C,MMBTA70,Mot,N,SOT23,MPSA70
2CR,BC849CR,Phi,R,SOT23R,BC549C
2CZ,FMMTA70,Zet,N,SOT23,MPSA70
2D,MMBTA92,Mot,N,SOT23,MPSA92 pnp Vce 300V
p2D,PMBTA92,Phi,N,SOT23,MPSA92 pnp Vce 300V
p2D,PXTA92,Phi,O,SOT89,MPSA92 pnp Vce 300V
t2D,PMBTA92,Phi,N,SOT23,MPSA92 pnp Vce 300V
t2D,PMSTA92,Phi,N,SOT323,MPSA92 pnp Vce 300V
2E,MMBTA93,Mot,N,SOT23,MPSA93 pnp Vce 200V
2E,FMMT-A93,Zet,N,SOT23,MPSA93
t2E,PMBTA93,Phi,N,SOT23,MPSA93 pnp Vce 200V
t2E,PMSTA93,Phi,N,SOT323,MPSA93 pnp Vce 200V
2F,BC850B,ITT,N,SOT23,BC550B
2Fs,BC850B,Sie,N,SOT23,BC550B
2Fs,BC850BW,Sie,N,SOT323,BC550B
2Fp,BC850B,Phi,N,SOT23,BC550B
2Ft,BC850B,Phi,N,SOT23,BC550B
2Ft,BC850BW,Phi,N,SOT323,BC550B
2F-,BC850BW,Phi,N,SOT323,BC550B
2F,FMMT2907A,Zet,N,SOT23,2N2907A
2F,MMBT2907A,Mot,N,SOT23,MPS2907A
2F,MMBT2907AW,Mot,N,SOT323,MPS2907A
p2F,PMBT2907A,Phi,N,SOT23,2N2907A
p2F,PXT2907A,Phi,O,SOT89,2N2907A
t2F,PMBT2907A,Phi,N,SOT23,2N2907A
t2F,PMBT2907A,Phi,N,SOT323,2N2907A
2FR,BC850BR,Phi,R,SOT23R,BC550B
2G,BC850C,ITT,N,SOT23,BC550C
2Gs,BC850C,Sie,N,SOT23,BC550C
2Gp,BC850C,Phi,N,SOT23,BC550C
2Gt,BC850C,Phi,N,SOT323,BC550C
2Gt,BC850CW,Phi,N,SOT323,BC550C
2G-,BC850CW,Phi,N,SOT323,BC550C
2G,FMMT-A56,Zet,N,SOT23,MPSA56
2G,MMBTA56,Mot,N,SOT23,MPSA56
p2G,PMBTA56,Phi,N,SOT23,MPSA56
t2G,PMBTA56,Phi,N,SOT23,MPSA56
t2G,PMSTA56,Phi,N,SOT323,MPSA56
2GM,MMBTA56,Mot,N,SOT23,MPSA56
2GR,BC850CR,Phi,R,SOT23R,BC550C
2GT,SOA56,SGS,N,SOT23,MPSA56
2H,FMMT-A55,Zet,N,SOT23,MPSA55
2HT,SOA55,SGS,N,SOT23,MPSA55
2H,MMBTA55,Mot,N,SOT23,MPSA55
t2H,PMBTA55,Phi,N,SOT23,MPSA55
t2H,PMSTA55,Phi,N,SOT323,MPSA55
2J,MMBT3640,Mot,N,SOT23,MPS3640 pnp sw
2K,FMMT4402,Zet,N,SOT23,2N4402
2K,MMBT8598,Mot,N,-,2N4125 pnp 60V
2L,MMBT5401,Mot,N,SOT23,2N5401 pnp 150V
2L,FMMT4403,Zet,N,SOT23,2N4403
p2L,PMBT5401,Phi,N,SOT23,2N5401 pnp 150V
t2L,PMBT5401,Phi,N,SOT23,2N5401 pnp 150V
t2L,PMST5401,Phi,N,SOT323,2N5401 pnp 150V
2M,FMMT5087,Zet,N,SOT23,2N5087
2M,MMBT404,Mot,N,SOT23,pnp-chopper 24V 150mA
2N,MMBT404A,Mot,N,SOT23,pnp-chopper 35V 150mA
2N0,ZXT11N20DF,Zet,N,SOT23,npn 20V 2.5A low sat switch
2P,FMMT2222R,Zet,R,SOT23R,2N2222
2P,MMBT5086,Mot,N,SOT23,2N5086
2Q,MMBT5087,Mot,N,SOT23,2N5087
2R,HSMS-8102,HP,Z,SOT23,10-14GHz schottky mixer pair
2T,SO4403,SGS,N,SOT23,2N4403
2T,MMBT4403,Mot,N,SOT23,2N4403
p2T,PMBT4403,Phi,N,SOT23,2N4403
p2T,PXT4403,Phi,O,SOT89,2N4403
t2T,PMBT4403,Phi,N,SOT23,2N4403
t2T,PMST4403,Phi,N,SOT323,2N4403
2T,HT2,Zet,N,SOT23,pnp 80V 100mA
2U,MMBTA63,Mot,N,SOT23,MPSA63 darlington
t2U,PMBTA63,Phi,N,SOT23,MPSA63 darlington
2V,MMBTA64,Mot,N,SOT23,MPSA64 darlington
p2V,PXTA64,Phi,O,SOT89,MPSA64 darlington
t2V,PMBTA64,Phi,H,SOT23,MPSA64 darlington
2V4,PZM2.4NB,Phi,C,SOT346,2.4V 300mW Zener
2V7,PZM2.7NB,Phi,C,SOT346,2.7V 300mW Zener
2W,FMMT3905,Zet,N,SOT23,2N3905
2W,MMBT8599,Mot,N,-,2N4125 Vce 80V pnp
2X,SO4401,SGS,N,SOT23,2N4401
2X,MMBT4401,Mot,N,SOT23,2N4401
p2X,PMBT4401,Phi,N,SOT23,2N4401
p2X,PxT4401,Phi,O,SOT89,2N4401
t2X,PMBT4401,Phi,N,SOT23,2N4401
t2X,PMST4401,Phi,N,SOT323,2N4401
2Y4,BZV49-C2V4,Phi,O,SOT89,2.4V 1W zener
2Y7,BZV49-C2V7,Phi,O,SOT89,2.7V 1W zener
2Z,MMBT6520,Mot,N,SOT23,2N6520 pnp Vce 350V
2Z,BAS70-04,Zet,D,SOT23,dual series RF schottky 70V 15mA
2Z5,BAS70-05,Zet,B,SOT23,dual cc RF Schottky 70V 15mA
3,BAT60A,Sie,I,SOD323,10V 3A sw schottky
3,BAT62-02W,Sie,I,SCD80,-
30,MUN5330DW1,Mot,DP,SOT363,npn/pnp dtr 1k0+1k0
30V,PZM30NB1,Phi,C,SOT346,30V 300mW zener
30Y,BZV49-C30,Phi,O,SOT89,30V 1W zener
301,FDV301N,Fch,M,SOT23,n-ch 'digital' fet 25V 0.22A
302,FDV302P,Fch,M,SOT23,p-ch 'digital' fet 25V 0.13A
303,FDV303N,Fch,M,SOT23,n-ch 'digital' fet 25V 0.68A
304,FDV304P,Fch,M,SOT23,p-ch 'digital' fet 25V 0.46A
31,MUN5331DW1,Mot,DP,SOT363,npn/pnp dtr 2k2+2k2
31,MMBD1402,Nat,K,SOT23,Si diode 200V 100mA
p31,PDTA143XT,Phi,N,SOT23,pnp dtr 4k7+10k
t31,PDTA143XT,Phi,N,SOT23,pnp dtr4k7+10k
32,MUN5332DW1,Mot,DP,SOT363,npn/pnp dtr 4k7+4k7
32,MMBD1403,Nat,D,SOT23,dual Si diode 200V 100mA
32,BAT32,Sie,CS,-,18GHz zero-bias schottky
p32,PDTC143XT,Phi,N,SOT23,pnp dtr 4k7+10k
t32,PDTC143XT,Phi,N,SOT23,pnp dtr 4k7+10ks
33,MUN5333DW1,Mot,DP,SOT363,npn/pnp dtr 4k7+47k
33,DTA143XE,Roh,N,EMT3,pnp dtr 4k7+10k 50V 100mA
33,DTA143XUA,Roh,N,SC70,pnp sw 4k7+10k bias res 50V 100mA
33,DTA143XKA,Roh,N,SC59,pnp sw 4k7+10k bias res 50V 100mA
33,MMBD1404,Nat,B,SOT23,dual cc Si diode 200V 100mA
33,Gali-33,MC,AZ,SOT89,DC-4GHz MMIC amp 19dB gain
33V,PZM33NB1,Phi,C,SOT346,33 300mW zener
33Y,BZV49-C33,Phi,O,SOT89,33V 1W zener
34,MUN5334DW1,Mot,DP,SOT363,npn/pnp dtr 22k+47k
34,MMBD1405,Nat,A,SOT23,dual ca Si diode 200V 100mA
331,NDS331N,Fch,M,SOT23,n-ch mosfet 1.3A 20V
331,PZM3.3NB1,Phi,C,SOT346,3.3V 300mW zener
332,PZM3.3NB2,Phi,C,SOT346,3.3V 300mW zener
332,NDS332N,Fch,M,SOT23,"p-ch mosfet 0.4A, 1A pk, 20V"
335,NDS335N,Fch,M,SOT23,"n-ch mosfet 70 mA, 1.7A pk, 20V"
336,NDS336N,Fch,M,SOT23,"p-ch mosfet 0.27A, 1.2A pk, 20V"
337,NDS337N,Fch,M,SOT23,"n-ch mosfet 50 mA, 2.5A pk 20V"
338,NDS338N,Fch,M,SOT23,"p-ch mosfet 0.13A, 1.6Apk 20V"
34,2SC5007,Nec,N,-,npn RF fT 7GHz @3V 7mA
340,FDV340P,Fch,M,SOT23,p-ch mosfet 20V 70 mA
35,MUN5335DW1,Mot,DP,SOT363,npn/pnp dtr 2k2+47k
35,DTA124XE,Roh,N,EMT3,pnp dtr 22k+47k 50V 50mA
35,DTA124XUA,Roh,N,SC70,pnp dtr 22k+47k 50V 50mA
35,DTA124XKA,Roh,N,SC59,pnp dtr 22k+47k 50V 50mA
351,NDS351N,Fch,M,SOT23,n-ch mosfet 1.1A 30V
352,NDS352N,Fch,M,SOT23,p-ch mosfet 0.5A 20V
355,NDS355N,Fch,M,SOT23,"n-ch mosfet 0.1A, 1.6A pk 30V"
356,NDS356N,Fch,M,SOT23,"p-ch mosfet 0.3A, 1.1A pk 20V"
357,NDS357N,Fch,M,SOT23,n-ch mosfet 2.5Apk 30V
358,NDS358N,Fch,M,SOT23,"p-ch mosfet 0.2A, 1.6A pk 30V"
358,FDN358N,Fch,M,SOT23,p-ch mosfet 0.2A 1.6A pk 30V
360,FDN360P,Fch,M,SOT23,"p-ch mosfet 80mA, 2a PK, 30V"
361,PZM3.6NB1,Phi,C,SOT346,3.6V 300mW Zener
362,PZM3.3NB2,Phi,C,SOT346,3.6V 300mW Zener
36V,PZM36NB1,Phi,C,SOT346,36V 300mW Zener
36Y,BZV49-C36,Phi,O,SOT89,36V 1W zener
391,PZM3.9NB1,Phi,C,SOT346,3.9V 300mW Zener
392,PZM3.9NB2,Phi,C,SOT346,3.9V 300mW Zener
39V,PZM39NB1,Phi,C,SOT346,39V 300mW Zener
39Y,BZV49-C39,Phi,O,SOT89,39V 1W zener
3A,BC856A,ITT,N,SOT23,BC556A
3A,BC856AT,Phi,N,SOT416,BC556A
3Ap,BC856A,Phi,N,SOT23,BC556A
3At,BC856A,Phi,N,SOT23,BC556A
3As,BC856A,Sie,N,SOT23,BC556A
3At,BC856AW,Phi,N,SOT323,BC556A
3A-,BC856AW,Phi,N,SOT323,BC556A
3A,MMBTH24,Mot,N,SOT23,VHF mixer npn fT 600MHz
3A0,PZM3.0NB2A,Phi,C,SOT346,dual 3.0V Zener
3A3,PZM3.3NB2A,Phi,C,SOT346,dual 3.3V Zener
3A6,PZM3.6NB2A,Phi,C,SOT346,dual 3.6V Zener
3A9,PZM3.9NB2A,Phi,C,SOT346,dual 3.9V Zener
3AR,BC856AR,Phi,R,SOT23R,BC556A
3B,BC856B,ITT,N,SOT23,BC556B
3B,BC856BT,Phi,N,SOT416,BC556B
3Bp,BC856B,Phi,N,SOT23,BC556B
3Bs,BC856B,Sie,N,SOT23,BC556B
3Bt,BC856B,Phi,N,SOT23,BC556B
3Bt,BC856BW,Phi,N,SOT323,BC556B
3B-,BC856BW,Phi,N,SOT323,BC556B
3B,FMMT918,Zet,N,SOT23,2N918
3B,MMBT918,Mot,N,SOT23,2N918
3BR,BC856BR,Phi,R,SOT23,BC556B
3C,FMMTA20R,Zet,R,SOT23R,MPSA20
3C,BC857,Sie,DO,-,pnp separate pair gp AF
3D,BC856,Phi,N,SOT23,BC556 hfe 75 min
3Dp,BC856,Phi,N,SOT23,BC556 hfe 75 min
3Dt,BC856,Phi,N,SOT23,BC556 hfe 75 min
3Dt,BC856W,Phi,N,SOT323,BC556 hfe 75 min
3D-,BC856W,Phi,N,SOT323,BC556 hfe 75 min
3D,MMBTH81L,Mot,N,SOT23,UHF pnp fT 600MHz
3D,BC856S,Sie,DO,-,pnp separate pair gp AF
3E,BC857A,Phi,N,SOT23,BC557A
3E,BC857AT,Phi,N,SOT416,BC557A
3Ep,BC857A,Phi,N,SOT23,BC557A
3Et,BC857A,Phi,N,SOT23,BC557A
3Et,BC857A,Phi,N,SOT323,BC557A
3E-,BC857A,Phi,N,SOT323,BC557A
3E,MMBTH10,Mot,N,SOT23,MPSH10 fT 650MHz
3E,FMMT-A42,Zet,N,SOT23,MPSA42
3EM,MMBTH10L,Mot,N,SOT23,VHF amp 650MHz fT
3ER,BC857AR,Phi,R,SOT23R,BC557A
3EZ,FMMTH10,Zet,N,SOT23,npn fT 650MHz
3F,BC857B,Phi,N,SOT23,BC557B
3F,BC857BT,Phi,N,SOT416,BC557B
3Fp,BC857B,Phi,N,SOT23,BC557B
3Fs,BC857B,Sie,N,SOT23,BC557B
3Ft,BC857B,Phi,N,SOT23,BC557B
3Ft,BC857BW,Phi,N,SOT323,BC557B
3Ft,BC857BS,Phi,N,SOT363,BC557B
3F-,BC857BW,Phi,N,SOT323,BC557B
3FR,BC857BR,Phi,R,SOT23R,BC557B
3G,BC857C,Phi,N,SOT23,BC557C
3Gp,BC857C,Phi,N,SOT23,BC557C
3G,BC857C,Phi,N,SOT23,BC557C
3Gs,BC857C,Sie,N,SOT23,BC557C
3Gt,BC857C,Phi,N,SOT23,BC557C
3Gt,BC857CW,Phi,N,SOT323,BC557C
3G-,BC857CW,Phi,N,SOT323,BC557C
3G,MMBTH11,NS,N,SOT23,-
3G,MGSF3454X,Mot,DK,TSOP6,n-ch enh tmosfet 1.75A
3GR,BC857CR,Phi,R,SOT23R,BC557CR
3Hp,BC857C,Phi,N,SOT23,BC557
3Ht,BC857C,Phi,N,SOT23,BC557
3Ht,BC857CW,Phi,N,SOT323,BC557
3H,MMBTH30,NS,N,SOT23,-
3H-,BC857CW,Phi,N,SOT323,BC557
3J,MMBTH69,Mot,N,SOT23,pnp UHF fT 2GHz
3J,BC858A,Phi,N,SOT23,BC558A
3Js,BC858A,Sie,N,SOT23,BC558A
3JR,BC858AR,Phi,R,SOT23R,BC558A
3Js,BCV62A,Sie,VQ,SOT143,pnp current mirror hFe 180
3Jp,BCV62A,Phi,VQ,SOT143,pnp current mirror hFe 180
3K,BC858B,Phi,N,SOT23,BC558B
3Ks,BCV62B,Sie,VQ,SOT143,npn current mirror hFe 290
3Kp,BCV62B,Phi,VQ,SOT143,npn current mirror hFe 290
3KR,BC858BR,Phi,R,SOT23R,BC558B
3L,BC858C,Phi,N,SOT23,BC558C
3LR,BC858CR,Phi,R,SOT23R,BC558C
3Ls,BCV62C,Sie,VQ,SOT143,pnp current mirror hFe 520
3Lp,BCV62C,Phi,VQ,SOT143,pnp current mirror hFe 520
3M,BC858,Phi,N,SOT23,BC558
3M,FMMT5087R,Zet,R,SOT23R,2N5087 BC322
3Ms,BCV62,Sie,VQ,SOT143,pnp current mirror
3Mp,BCV62,Phi,VQ,SOT143,pnp current mirror
3N,MMBT4402,Nat,N,SOT23,2N4402 pnp
3P,FMT2222AR,Zet,R,SOT23R,2N2222A
3R,MMBT5571,Nat,N,SOT23,pnp sw 850MHz
3S,MMBT5551,Nat,N,SOT23,npn 160V
3T,HT3,Zet,N,SOT23,npn 80V 100mA
3V0,PZM3.0NB,Phi,C,SOT346,3.0V 300mW Zener
3V3,PZM3.3NB,Phi,C,SOT346,3.3V 300mW Zener
3V6,PZM3.6NB,Phi,C,SOT346,3.6V 300mW Zener
3V9,PZM3.9NB,Phi,C,SOT346,3.9V 300mW Zener
3W,FMMT-A12,Zet,N,-,MPSA12
3Y3,BZV49-C3V3,Phi,O,SOT89,3.3V 1W zener
3Y6,BZV49-C3V6,Phi,O,SOT89,3.6V 1W zener
3Y9,BZV49-C3V9,Phi,O,SOT89,3.9V 1W zener
4 (white),BAS140W,Sie,I,SOD323,40V 120mA sw schottky
4 (yellow),BB644,Sie,I,SOD323,Varicap 42-2.5pF
4 (red),BB57-03W,Sie,I,SOD323,Varicap
4,BB664,Sie,I,SCD80,Varicap 42-2.5pF
41,BAT14-115S,Sie,CS,SOT173,40GHz schottky diode
41,BAT14-115R,Sie,CZ,SOT173,40GHz schottky ring quad
41A,FMMT491A,Zet,N,SOT23,npn 40v 1A max
41D,BAT14-115D,Sie,CY,SOT173,40GHz schottky dual
42,BAT14-025S,Sie,CS,SOT173,4GHz schottky diode
42,BAT14-025R,Sie,CZ,SOT173,4GHz schottky ring quad
42D,BAT14-025D,Sie,CY,SOT173,4GHz schottky dual
43,BAS40,Sie,C,SOT23,schottky diode 40V 100mA
43,DTA143EE,Mot,N,SOT416,pnp dtr 4k7 + 4k7
43,DTC143XE,Roh,N,EMT3,npn dtr 4k7+10k 50V 100mA
43,DTC143XUA,Roh,N,SC70,npn dtr 4k7+10k 50V 100mA
43,DTC143XKA,Roh,N,SC59,npn dtr 4k7+10k 50V 100mA
43V,PZM43NB,Phi,C,SOT346,43V 0.3W zener
43Y,BZV49-C43,Phi,O,SOT89,43V 1W zener
44,BAS40-04,Sie,D,SOT23,dual series BAS40
44,BAS40-04W,Sie,D,SOT323,dual series BAS40
44,2SC5009,Nec,N,-,npn RF fT 12GHz @3V 5mA
45,BAS40-05,Sie,A,SOT23,dual ca BAS40
45,BAS40-05W,Sie,A,SOT323,dual ca BAS40
45,BAT14-055S,Sie,CS,SOT173,8GHz schottky diode
45,BAT14-055R,Sie,CZ,SOT173,8GHz schottky ring quad
45,DTC124XE,Roh,N,EMT3,npn dtr 22k+47k 50V 50mA
45,DTC124XUA,Roh,N,SC70,npn dtr 22k+47k 50V 50mA
45,DTC124XKA,Roh,N,SC59,npn dtr 22k+47k 50V 50mA
45D,BAT14-055D,Sie,CY,SOT173,8GHz schottky dual
46,BAS40-06,Sie,B,SOT23,dual cc BAS40
46,BAS40-06W,Sie,B,SOT323,dual cc BAS40
46,MBT3946DW,Mot,DP,-,2N3904/2N3906 pair
47,BAS40-07,Sie,S,SOT143,dual BAS40
47,BAS40-07W,Sie,S,SOT343,dual BAS40
47V,PZM47NB,Phi,C,SOT346,47V 0.3W zener
47Y,BZV49-C47,Phi,O,SOT89,47V 1W zener
49,BAT14-095S,Sie,CS,SOT173,18GHz shottky diode
49,BAT14-095R,Sie,CZ,SOT173,18GHz schottky ring quad
49D,BAT14-095D,Sie,CY,SOT173,18GHz schottky dual
413,FMMT413,Zet,N,SOT23,npn avalanche 150v 0.1A
415,FMMT415,Zet,N,SOT23,npn avalanche 260v 0.1A
417,FMMT417,Zet,N,SOT23,npn avalanche 320v 0.1A
431,PZM4.3NB1,Phi,C,SOT346,4.3V 0.3W zener
432,PZM4.3NB2,Phi,C,SOT346,4.3V 0.3W zener
433,PZM4.3NB3,Phi,C,SOT346,4.3V 0.3W zener
449,FMMT449,Zet,N,SOT23,npn 50V 1A low Vce sat
451,FMMT451,Zet,N,SOT23,npn 60V 1A
455,FMMT455,Zet,N,SOT23,NPN 140V 1A
458,FMMT458,Zet,N,SOT23,npn 400V 0.4A
471,PZM4.7NB1,Phi,C,SOT346,4.7V 0.3W zener
472,PZM4.7NB2,Phi,C,SOT346,4.7V 0.3W zener
473,PZM4.7NB3,Phi,C,SOT346,4.7V 0.3W zener
491,FMMT491,Zet,N,SOT23,ZTX 450/451
493,FMMT493,Zet,N,SOT23,ZTX 453
494,FMMT494,Zet,N,SOT23,npn 120V 1A
495,FMMT495,Zet,N,SOT23,npn 170V 1A
497,FMMT497,Zet,N,SOT23,npn 300V 0.5A
4A,MMBV109,Mot,C,SOT23,MV209 varicap
4A,FMMV109,Zet,C,SOT23,MV209 varicap
4A,HD3A,Zet,C,-,75V 100mA sw diode
4A,BC859A,ITT,N,SOT23,BC559A
4Ap,BC859A,Phi,N,SOT23,BC559A
4As,BC859AW,Sie,N,SOT323,BC559A
4As,BC859A,Sie,N,SOT23,BC559A
4A3,PZM4.3NB2A,Phi,A,SOT346,dual ca 4.3V Zener
4A7,PZM4.7NB2A,Phi,A,SOT346,dual ca 4.7V Zener
4AR,BC859AR,Phi,R,SOT23R,BC559A
4B,MMBV432,Mot,B,-,dual cc varicap 1.5-45pF
4B,BC859B,ITT,N,SOT23,BC559B
4Bs,BC859B,Sie,N,SOT23,BC559B
4Bs,BC859BW,Sie,N,SOT323,BC559B
4Bp,BC859B,Phi,N,SOT23,BC559B
4Bt,BC859B,Phi,N,SOT23,BC559B
4Bt,BC859BW,Phi,N,SOT323,BC559B
4B-,BC859BW,Phi,N,SOT323,BC559B
4BR,BC859BR,Phi,R,SOT23R,BC559B
4C,BC859C,ITT,N,SOT23,BC559C
4Cs,BC859C,Sie,N,SOT23,BC559C
4Cs,BC859CW,Sie,N,SOT323,BC559C
4Cp,BC859C,Phi,N,SOT23,BC559C
4Ct,BC859C,Phi,N,SOT23,BC559C
4Ct,BC859CW,Phi,N,SOT323,BC559C
4C-,BC859CW,Phi,N,SOT323,BC559C
4C,MMVB3102,Mot,C,SOT23,varicap 6-35pF
4C,BC859C,Phi,N,SOT23,BC559C
4CR,BC859CR,Phi,R,SOT23R,BC559C
4D,BC859B,Phi,N,SOT23,BC559B
4Dt,BC859W,Phi,N,SOT323,BC559B
4D-,BC859W,Phi,N,SOT323,BC559B
4D,MMBV3401,Mot,C,SOT23,VHF pin diode
4D,HD3A,Zet,C,SOT23,sw diode 75V 100mA
4E,BC860A,Phi,N,SOT23,BC560A
4E,FMMT-A92,Zet,N,SOT23,MPSA92
4E,MMBV105G,Mot,C,SOT23,MV105 varicap
4ER,BC860AR,Phi,R,SOT23R,BC560A
4F,MMBD353,Mot,Z,SOT23,dual MBD101
4F,BC860B,Phi,N,SOT23,BC560B
4F,Gali-4F,MC,AZ,SOT89,DC-4GHz MMIC amp 15 dBm o/p
4Fs,BC860B,Sie,N,SOT23,BC560B
4Fs,BC860BW,Sie,N,SOT323,BC560B
4Fp,BC860B,Phi,N,SOT23,BC560B
4Ft,BC860B,Phi,N,SOT23,BC560B
4Ft,BC860BW,Phi,N,SOT323,BC560B
4F-,BC860BW,Phi,N,SOT323,BC560B
4FR,BC860BR,Phi,R,SOT23,BC560B
4G,MMBV2101,Mot,C,SOT23,MV2101 varicap
4G,BC860C,Phi,N,SOT23,BC560C
4Gs,BC860C,Sie,N,SOT23,BC560C
4Gs,BC860CW,Sie,N,SOT323,BC560C
4Gp,BC860C,Phi,N,SOT23,BC560C
4Gt,BC860C,Phi,N,SOT23,BC560C
4Gt,BC860CW,Phi,N,SOT323,BC560C
4G-,BC860CW,Phi,N,SOT323,BC560C
4GR,BC860CR,Phi,R,SOT23,BC560CR
4H,MMBV2103,Mot,C,SOT23,MV2103 varicap
4Hp,BC860,Phi,N,SOT23,BC560
4Ht,BC860W,Phi,N,SOT323,BC560
4H-,BC860W,Phi,N,SOT323,BC560
4J,FMMT38A,Zet,N,SOT23,BCX38A
4J,MMBV2109,Mot,C,SOT23,MV2109 varicap
4K,BAP64-04,Phi,D,-,dual series 3GHz pin diode
4K,MMSB3000,Mot,I,SOD123,Si diode 30V 0.2A
4L,BAP50-04,Phi,D,-,dual series GP RF pin diode
4M,MMBD101,Mot,C,SOT23,MBD101 schottky diode
4Ms,BAT240A,Sie,EQ,SOT143,dual schottky 250V 0.4A
4R,MMBV3700,Mot,C,SOT23,200V vhf pin diode
4S,MMBD201,Mot,C,SOT23,MBD201
4T,MMBD301,Mot,C,SOT23,MBD301 UHF schottky diode
4U,MMBV2105,Mot,C,SOT23,MV2105 varicap
4V,MMBV2106,Mot,C,SOT23,MV2106 varicap
4V,BCW65AR,Zet,R,SOT23R,npn 32V 0.8A
4V3,PZM4.3NB,Phi,C,SOT346,4.3V 0.3W zener
4V7,PZM4.7NB,Phi,C,SOT346,4.7V 0.3W zener
4W,MMBV2107,Mot,C,SOT23,MV2107 varicap
4W,BCW67AR,Zet,R,SOT23R,pnp 32V 0.8A
4Y,MMBV2102,Mot,C,SOT23,MV2102 varicap
4Y3,BZV49-C4V3,Phi,O,SOT89,4.3V 1W zener
4Y7,BZV49-C4V7,Phi,O,SOT89,4.7V 1W zener
4X,MMBV2108,Mot,C,SOT23,MV2108 varicap
4Z,MMBV2104,Mot,C,SOT23,MV2104 varicap
5 (white),BAT60B,Sie,I,10V 3A sw Schottky
5 (red),BBY57-03W,Sie,I,SOD323,varicap
500,SSTPAD500,Sil,J,PAD-500 500pA leakage diode
51,BAT15-115S,Sie,CS,SOT173,40GHz schottky diode
51,BAT15-115R,Sie,CZ,SOT173,40GHz schottky ring quad
51D,BAT15-115D,Sie,CY,SOT173,40GHz schottky dual
51V,PZM51NB,Phi,C,SOT346,51V 0.3W zener
51Y,BZV49-C51,Phi,O,SOT89,51V 1W zener
52,BAT15-025S,Sie,CS,SOT173,4GHz schottky diode
52,BAT15-025R,Sie,CZ,SOT173,4GHz schottky ring quad
52,Gali-52,MC,AZ,SOT89,DC-2GHz MMIC amp 23 dB gain
52,BAS52-02V,Inf,I,SC79,Schottky diode 45V 750mA
52,DTA123YE,Roh,N,EMT3,pnp dtr 2k2 +10k 50V 100mA
52,DTA123YUA,Roh,N,SC70,pnp dtr 2k2 +10k 50V 100mA
52,DTA123YKA,Roh,N,SC59,pnp dtr 2k2 +10k 50V 100mA
52D,BAT15-025D,Sie,CY,SOT173,4GHz schottky dual
53s,BAT17,Sie,C,SOT23,schottky diode 4V 100mA
54,DTA114YE,Roh,N,EMT3,pnp dtr 10k + 47k 50V 100mA
54,DTA114YUA,Roh,N,SC70,pnp dtr 10k + 47k 50V 100mA
54,DTA114YKA,Roh,N,SC59,pnp dtr 10k + 47k 50V 100mA
54s,BAT17-04,Sie,D,SOT23,dual series BAT17
54s,BAT17-04W,Sie,D,SOT323,dual series BAT17
55,BAT15-055S,Sie,CS,SOT173,8GHz schottky diode
55,BAT15-055R,Sie,CZ,SOT173,8GHz schottky ring quad
55,Gali-55,MC,AZ,SOT89,DC-4GHz MMIC amp 21 dB gain
55D,BAT15-055D,Sie,CY,SOT173,8GHz schottky dual
55s,BAT17-05,Sie,A,SOT23,dual ca BAT17
55s,BAT17-05W,Sie,A,SOT323,dual ca BAT17
56s,BAT17-06,Sie,B,SOT23,dual cc BAT17
56s,BAT17-06W,Sie,B,SOT323,dual cc BAT17
56V,PZM56NB,Phi,C,SOT346,56V 0.3W zener
56Y,BZV49-C56,Phi,O,SOT89,56V 1W zener
57s,BAT17-07,Sie,S,SOT143,dual BAT17
57,BFQ57,Sie,CX,SOT173,npn 6.5GHz 16V/35mA
58,BFQ58,Sie,CX,SOT173,npn 6.5GHz 16V/30mA
59,BAT15-095S,Sie,CS,SOT173,18GHz schottky diode
59,BAT15-095R,Sie,CZ,SOT173,18GHz schottky ring quad
59D,BAT15-095D,Sie,CY,SOT173,18GHz schottky dual
511,PZM5.1NB1,Phi,C,SOT346,5.1V 0.3W zener
512,PZM5.1NB2,Phi,C,SOT346,5.1V 0.3W zener
513,PZM5.1NB3,Phi,C,SOT346,5.1V 0.3W zener
561,PZM5.1NB1,Phi,C,SOT346,5.6V 0.3W zener
562,PZM5.1NB2,Phi,C,SOT346,5.6V 0.3W zener
563,PZM5.1NB3,Phi,C,SOT346,5.6V 0.3W zener
558,FMMT558,Zet,N,SOT23,pnp 400V 0.15A
589,FMMT589,Zet,N,SOT23,pnp 30V 1A
591,FMMT591,Zet,N,SOT23,ZTX550/551
593,FMMT593,Zet,N,SOT23,ZTX 553
5A,BC807-16,Phi,N,SOT23,BC327-16
5As,BC807-16,Sie,N,SOT23,BC327-16
5As,BC807-16W,Sie,N,SOT323,BC327-16
5Ap,BC807-16,Phi,N,SOT23,BC327-16
5At,BC807-16,Phi,N,SOT23,BC327-16
5At,BC807-16W,Phi,N,SOT323,BC327-16
5A-,BC807-16W,Phi,N,SOT323,BC327-16
5A,BSS123,Mot,M,SOT23,n-ch tmosfet Vds 100V
5A,MMBD6050,Mot,C,SOT23,sw diode 70V 0.2A
5A,FMMD6050,Zet,C,SOT23,sw diode 70V 100mA
5A1,PZM5.1NB2A,Phi,A,SOT346,dual ca 5.1V 0.3W zener
